测试频道,#genre#
CCTV-12社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-17农业农村,http://z.b.bkpcp.top/m.php?id=cctv17

CCTV-1综合,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV-2财经,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV-3综艺,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-4中文国际,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV-5体育,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV-6电影,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV-7国防军事,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV-8电视剧,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV-9纪录,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV-10科教,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV-11戏曲,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV-12社会与法,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV-13新闻,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV-14少儿,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV-15音乐,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV-16奥林匹克,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV-17农业农村,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17

CCTV-1综合,http://m.061899.xyz/mg/cctv1
CCTV-2财经,http://m.061899.xyz/mg/cctv2
CCTV-3综艺,http://m.061899.xyz/mg/cctv3
CCTV-4中文国际,http://m.061899.xyz/mg/cctv4
CCTV-5体育,http://m.061899.xyz/mg/cctv5
CCTV-6电影,http://m.061899.xyz/mg/cctv6
CCTV-7国防军事,http://m.061899.xyz/mg/cctv7
CCTV-8电视剧,http://m.061899.xyz/mg/cctv8
CCTV-9纪录,http://m.061899.xyz/mg/cctv9
CCTV-10科教,http://m.061899.xyz/mg/cctv10
CCTV-11戏曲,http://m.061899.xyz/mg/cctv11
CCTV-12社会与法,http://m.061899.xyz/mg/cctv12
CCTV-13新闻,http://m.061899.xyz/mg/cctv13
CCTV-14少儿,http://m.061899.xyz/mg/cctv14
