有效频道,#genre#
黑龙江卫视,http://111.225.93.228:33333/hls/27/index.m3u8
黑龙江卫视,http://111.225.95.224:33333/hls/27/index.m3u8
黑龙江卫视,http://111.225.95.33:8800/hls/40/index.m3u8
湖北卫视,http://101.75.215.122:8008/hls/30/index.m3u8
湖北卫视,http://111.225.93.228:33333/hls/44/index.m3u8
湖北卫视,http://111.225.95.224:33333/hls/44/index.m3u8
湖北卫视,http://111.225.95.33:8800/hls/45/index.m3u8
湖北卫视,http://171.8.245.39:808/hls/47/index.m3u8
湖南卫视,http://101.75.215.122:8008/hls/19/index.m3u8
湖南卫视,http://111.225.93.228:33333/hls/26/index.m3u8
湖南卫视,http://111.225.95.224:33333/hls/26/index.m3u8
吉林卫视,http://111.225.93.228:33333/hls/51/index.m3u8
吉林卫视,http://111.225.95.224:33333/hls/51/index.m3u8
吉林卫视,http://111.225.95.33:8800/hls/51/index.m3u8
江苏卫视,http://101.75.215.122:8008/hls/20/index.m3u8
江苏卫视,http://111.225.93.228:33333/hls/29/index.m3u8
江苏卫视,http://111.225.95.224:33333/hls/29/index.m3u8
江苏卫视,http://111.225.95.33:8800/hls/32/index.m3u8
江苏卫视,http://171.8.245.39:808/hls/30/index.m3u8
内蒙古卫视,http://111.225.93.228:33333/hls/41/index.m3u8
内蒙古卫视,http://111.225.95.224:33333/hls/41/index.m3u8
内蒙古卫视,http://111.225.95.33:8800/hls/54/index.m3u8
宁夏卫视,http://111.225.93.228:33333/hls/46/index.m3u8
宁夏卫视,http://111.225.95.224:33333/hls/46/index.m3u8
宁夏卫视,http://111.225.95.33:8800/hls/57/index.m3u8
青海卫视,http://111.225.93.228:33333/hls/45/index.m3u8
青海卫视,http://111.225.95.224:33333/hls/45/index.m3u8
青海卫视,http://111.225.95.33:8800/hls/55/index.m3u8
山东卫视,http://101.75.215.122:8008/hls/24/index.m3u8
山东卫视,http://111.225.93.228:33333/hls/33/index.m3u8
山东卫视,http://111.225.95.224:33333/hls/33/index.m3u8
山东卫视,http://111.225.95.33:8800/hls/37/index.m3u8
山西卫视,http://111.225.93.228:33333/hls/40/index.m3u8
山西卫视,http://111.225.95.224:33333/hls/40/index.m3u8
山西卫视,http://111.225.95.33:8800/hls/53/index.m3u8
山西卫视,http://171.8.245.39:808/hls/50/index.m3u8
陕西卫视,http://111.225.93.228:33333/hls/39/index.m3u8
陕西卫视,http://111.225.95.224:33333/hls/39/index.m3u8
陕西卫视,http://111.225.95.33:8800/hls/52/index.m3u8
陕西卫视,http://171.8.245.39:808/hls/51/index.m3u8
深圳卫视,http://101.75.215.122:8008/hls/23/index.m3u8
深圳卫视,http://111.225.93.228:33333/hls/28/index.m3u8
深圳卫视,http://111.225.95.224:33333/hls/28/index.m3u8
深圳卫视,http://111.225.95.33:8800/hls/44/index.m3u8
四川卫视,http://101.75.215.122:8008/hls/31/index.m3u8
四川卫视,http://111.225.93.228:33333/hls/54/index.m3u8
四川卫视,http://111.225.95.224:33333/hls/54/index.m3u8
四川卫视,http://111.225.95.33:8800/hls/41/index.m3u8
四川卫视,http://171.8.245.39:808/hls/52/index.m3u8
天津卫视,http://101.75.215.122:8008/hls/22/index.m3u8
天津卫视,http://111.225.93.228:33333/hls/32/index.m3u8
天津卫视,http://111.225.95.224:33333/hls/32/index.m3u8
天津卫视,http://111.225.95.33:8800/hls/35/index.m3u8
西藏卫视,http://111.225.93.228:33333/hls/47/index.m3u8
西藏卫视,http://111.225.95.224:33333/hls/47/index.m3u8
西藏卫视,http://111.225.95.33:8800/hls/58/index.m3u8
新疆卫视,http://111.225.93.228:33333/hls/56/index.m3u8
新疆卫视,http://111.225.95.224:33333/hls/56/index.m3u8
新疆卫视,http://111.225.95.33:8800/hls/59/index.m3u8
云南卫视,http://111.225.93.228:33333/hls/37/index.m3u8
云南卫视,http://111.225.95.224:33333/hls/37/index.m3u8
云南卫视,http://111.225.95.33:8800/hls/38/index.m3u8
浙江卫视,http://101.75.215.122:8008/hls/26/index.m3u8
浙江卫视,http://111.225.93.228:33333/hls/31/index.m3u8
浙江卫视,http://111.225.95.224:33333/hls/31/index.m3u8
浙江卫视,http://111.225.95.33:8800/hls/31/index.m3u8
浙江卫视,http://171.8.245.39:808/hls/31/index.m3u8
重庆卫视,http://101.75.215.122:8008/hls/33/index.m3u8
重庆卫视,http://111.225.93.228:33333/hls/55/index.m3u8
重庆卫视,http://111.225.95.224:33333/hls/55/index.m3u8
重庆卫视,http://111.225.95.33:8800/hls/47/index.m3u8
