IPV6频道,#genre#
CCTV-10,http://115.60.241.249:2000/udp/225.1.4.78:1107
CCTV-11,http://115.60.241.249:2000/udp/225.1.4.215:1268
CCTV-12,http://115.60.241.249:2000/udp/225.1.4.79:1108
CCTV-13,http://115.60.241.249:2000/udp/225.1.4.113:1293
CCTV-14,http://115.60.241.249:2000/udp/225.1.4.80:1109
CCTV-15,http://115.60.241.249:2000/udp/225.1.4.216:1269
CCTV-16,http://115.60.241.249:2000/udp/225.1.5.46:1356
CCTV-17,http://115.60.241.249:2000/udp/225.1.4.226:2506

CCTV-1,http://115.60.241.249:2000/udp/225.1.4.1:1030
CCTV-2,http://115.60.241.249:2000/udp/225.1.4.2:1031
CCTV-4,http://115.60.241.249:2000/udp/225.1.4.4:1033
CCTV-7,http://115.60.241.249:2000/udp/225.1.4.7:1036
CCTV-9,http://115.60.241.249:2000/udp/225.1.4.9:1038
CCTV-10,http://115.60.241.249:2000/udp/225.1.4.10:1039
CCTV-11,http://115.60.241.249:2000/udp/225.1.4.11:1040
CCTV-12,http://115.60.241.249:2000/udp/225.1.4.12:1041
CCTV-13,http://115.60.241.249:2000/udp/225.1.4.13:1042
CCTV-14,http://115.60.241.249:2000/udp/225.1.4.14:1043
CCTV-15,http://115.60.241.249:2000/udp/225.1.4.15:1044
CCTV-17,http://115.60.241.249:2000/udp/225.1.4.227:2507

卫视频道,#genre#
江西卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.47:8000
北京卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.85:8000
东方卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.86:8000
辽宁卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.92:8000
东南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.105:8000
甘肃卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.74:8000
广东卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.90:8000
广西卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.197:8000
安徽卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.87:8000
贵州卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.113:8000
海南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.179:8000
河北卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.112:8000
河南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.190:8000
黑龙江卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.93:8000
湖北卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.88:8000
湖南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.82:8000
吉林卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.173:8000
江苏卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.83:8000
青海卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.195:8000
山东卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.78:8000
深圳卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.91:8000
四川卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.180:8000
天津卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.89:8000
云南卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.196:8000
浙江卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.84:8000
重庆卫视,http://annaxi.lw-home.com:11111/udp/239.253.254.38:8000

江西卫视,http://36.46.99.160:8009/udp/239.111.205.16:5140
北京卫视,http://36.46.99.160:8009/udp/239.112.205.65:5140
东方卫视,http://36.46.99.160:8009/udp/239.112.205.61:5140
辽宁卫视,http://36.46.99.160:8009/udp/239.112.205.73:5140
东南卫视,http://36.46.99.160:8009/udp/239.112.205.182:5140
甘肃卫视,http://36.46.99.160:8009/udp/239.112.205.48:5140
广东卫视,http://36.46.99.160:8009/udp/239.112.205.66:5140
广西卫视,http://36.46.99.160:8009/udp/239.112.205.51:5140
贵州卫视,http://36.46.99.160:8009/udp/239.112.205.178:5140
海南卫视,http://36.46.99.160:8009/udp/239.112.205.50:5140
河北卫视,http://36.46.99.160:8009/udp/239.112.205.200:5140
河南卫视,http://36.46.99.160:8009/udp/239.112.205.180:5140
黑龙江卫视,http://36.46.99.160:8009/udp/239.112.205.68:5140
安徽卫视,http://36.46.99.160:8009/udp/239.112.205.72:5140
湖北卫视,http://36.46.99.160:8009/udp/239.112.205.69:5140
湖南卫视,http://36.46.99.160:8009/udp/239.112.205.62:5140
吉林卫视,http://36.46.99.160:8009/udp/239.112.205.183:5140
江苏卫视,http://36.46.99.160:8009/udp/239.112.205.63:5140
内蒙古卫视,http://36.46.99.160:8009/udp/239.112.205.55:5140
宁夏卫视,http://36.46.99.160:8009/udp/239.112.205.49:5140
青海卫视,http://36.46.99.160:8009/udp/239.112.205.53:5140
厦门卫视,http://36.46.99.160:8009/udp/239.112.205.60:5140
山东卫视,http://36.46.99.160:8009/udp/239.112.205.70:5140
山西卫视,http://36.46.99.160:8009/udp/239.112.205.46:5140
陕西卫视,http://36.46.99.160:8009/udp/239.111.205.35:5140
深圳卫视,http://36.46.99.160:8009/udp/239.112.205.67:5140
四川卫视,http://36.46.99.160:8009/udp/239.112.205.184:5140
天津卫视,http://36.46.99.160:8009/udp/239.112.205.74:5140
西藏卫视,http://36.46.99.160:8009/udp/239.112.205.54:5140
新疆卫视,http://36.46.99.160:8009/udp/239.112.205.56:5140
云南卫视,http://36.46.99.160:8009/udp/239.112.205.58:5140
浙江卫视,http://36.46.99.160:8009/udp/239.112.205.64:5140
重庆卫视,http://36.46.99.160:8009/udp/239.112.205.179:5140

江西卫视,http://115.60.241.249:2000/udp/225.1.4.139:1305
江西卫视,http://115.60.241.249:2000/udp/225.1.4.37:1066
北京卫视,http://115.60.241.249:2000/udp/225.1.4.21:1050
北京卫视,http://115.60.241.249:2000/udp/225.1.4.81:1110
东方卫视,http://115.60.241.249:2000/udp/225.1.4.22:1051
东方卫视,http://115.60.241.249:2000/udp/225.1.4.85:1114
辽宁卫视,http://115.60.241.249:2000/udp/225.1.4.167:1208
辽宁卫视,http://115.60.241.249:2000/udp/225.1.4.26:1055
