💝咪咕直播,#genre#
湖南衛視,http://smart.pendy.dpdns.org/Smart.php?id=hunan_twn
江蘇衛視,http://smart.pendy.dpdns.org/Smart.php?id=jiangsu_twn
深圳衛視,http://smart.pendy.dpdns.org/Smart.php?id=shenzhen
大灣區衛視,http://smart.pendy.dpdns.org/Smart.php?id=nanfang_twn
廣東衛視,http://smart.pendy.dpdns.org/Smart.php?id=guangdongweishi_twn
北京衛視,http://smart.pendy.dpdns.org/Smart.php?id=beijing
廣東珠江,http://smart.pendy.dpdns.org/Smart.php?id=zhujiang
廣西衛視,http://smart.pendy.dpdns.org/Smart.php?id=guangxi
湖北衛視,http://smart.pendy.dpdns.org/Smart.php?id=hubei
四川衛視,http://smart.pendy.dpdns.org/Smart.php?id=sichuan_twn
東方衛視,http://smart.pendy.dpdns.org/Smart.php?id=dongfangweishi_twn
东南卫视,https://smart.pendy.dpdns.org/Smart.php?id=fujian

ali央视卫视,#genre#
CCTV 1,http://ali.hlspull.yximgs.com/live/f655c8a5013519c8184eb45b1ca05e67.flv
CCTV 2,http://ali.hlspull.yximgs.com/live/94c7295bbfe8b26bb7a09787555278b6.flv
CCTV 3,http://ali.hlspull.yximgs.com/live/7eef39cb01ee6ffe11d67ea5cfb07d59.flv
CCTV 4,http://ali.hlspull.yximgs.com/live/31df12a44d5ad865ffcca4486c444f28.flv
CCTV 5,http://ali.hlspull.yximgs.com/live/22c5e137636eea9b2cf48fec3d9ec68e.flv
CCTV 5+,http://ali.hlspull.yximgs.com/live/8163b2f6952708d1d1211065dd1ab47f.flv
CCTV 6,http://ali.hlspull.yximgs.com/live/07640b70ab478cbec19e8349b3029af7.flv
CCTV 7,http://ali.hlspull.yximgs.com/live/8ce2b5d5afda9857bb067a828a052186.flv
CCTV 8,http://ali.hlspull.yximgs.com/live/5e84099a756a76295631aef4730914ad.flv
CCTV 9,http://ali.hlspull.yximgs.com/live/40d9d99219792d6ca305a62672f97f9c.flv
CCTV 10,http://ali.hlspull.yximgs.com/live/6cfd74994aef28dd9fbb27d4ee687f89.flv
CCTV 11,http://ali.hlspull.yximgs.com/live/e54e543428f7223d4a7872d1358764de.flv
CCTV 12,http://ali.hlspull.yximgs.com/live/9f436ed78c2ac7bcd8a8afddca2434d5.flv
CCTV 13,http://ali.hlspull.yximgs.com/live/6cc6b4cc3b7389fa71654976ee75cb91.flv
CCTV 14,http://ali.hlspull.yximgs.com/live/647ef08d08afc1b1da0198d917eea79a.flv
CCTV 15,http://ali.hlspull.yximgs.com/live/b8601817d86a1bfcf34ea5675fa6df6f.flv
CCTV 16,http://ali.hlspull.yximgs.com/live/d41a11eb8e0553d0af32fd9f36bc2ff8.flv
CCTV 17,http://ali.hlspull.yximgs.com/live/d70a43706e8a782e692fc4f95acae0ec.flv
CCTV-娱乐,http://ali.hlspull.yximgs.com/live/3add763c53cc8f899d2aec9055660b30.flv
CGTN,http://ali.hlspull.yximgs.com/live/f505f6e7d2e7c9cf180afdcf212a3752.flv
CETV 1,http://ali.hlspull.yximgs.com/live/869d05e8c06943e06fa6b4099bd229d6.flv
CETV 2,http://ali.hlspull.yximgs.com/live/e4f61c3b9a59d0879a476e7daea169a9.flv
CETV 4,http://ali.hlspull.yximgs.com/live/1dcf519ae3cc33404484e6d5d40bda32.flv
CHC影迷电影,http://ali.hlspull.yximgs.com/live/d557f743cc2d9d0e6ed2b1883e67d1ff.flv
CHC动作电影,http://ali.hlspull.yximgs.com/live/6871dafc920a73e359888af4ea3eb1e8.flv
CHC家庭影院,http://ali.hlspull.yximgs.com/live/7d1b72eb97316a2b539bb471c1d82c94.flv
湖南卫视,http://ali.hlspull.yximgs.com/live/add9ee6657f565b1df1fa984ce8e5be2.flv
浙江卫视,http://ali.hlspull.yximgs.com/live/18f477df45e64b3cc403c6bff602df24.flv
江苏卫视,http://ali.hlspull.yximgs.com/live/e6aa2837528e4e8bbcf650eb8379460b.flv
深圳卫视,http://ali.hlspull.yximgs.com/live/738c672ac9a5ca6cdf9d5cfb72444406.flv
湖北卫视,http://ali.hlspull.yximgs.com/live/30772138cc7933bd0c35faca0cda7edd.flv
广西卫视,http://ali.hlspull.yximgs.com/live/14d7125fc3a3b148fba011874c35f3a5.flv
东南卫视,http://ali.hlspull.yximgs.com:80/live/d0a9db5455aa57b408294788ebaddff1.flv
